City_ID,City,Cloudiness,Country,Date,Humidity (%),Lat,Lng,Temperature (F),Windspeed (mph)
128,puerto escondido,40,MX,1540759200,62,15.86,-97.07,89.6,6.93
129,songea,0,TZ,1540762209,85,-10.68,35.65,60.79,2.93
130,ribeira grande,20,PT,1540760400,67,38.52,-28.7,60.8,6.93
131,half moon bay,75,US,1540760160,72,37.46,-122.43,75.2,14.99
132,kailua,75,US,1540760640,74,21.39,-157.74,84.2,10.29
133,grindavik,90,IS,1540760400,93,63.84,-22.43,37.4,8.05
134,ancud,92,CL,1540762371,99,-41.87,-73.83,55.35,10.2
135,polunochnoye,0,RU,1540762371,74,60.87,60.43,20.07,4.94
136,vardo,75,US,1540760400,54,39.62,-77.74,57.2,5.82
137,port augusta,0,AU,1540760400,87,-32.49,137.76,53.6,5.82
138,vagur,76,FO,1540762372,100,61.47,-6.81,46.62,32.46
139,sao joao da barra,75,BR,1540760400,64,-21.64,-41.05,73.4,23.04
140,nanortalik,92,GL,1540762372,95,60.14,-45.24,36.27,38.05
141,kloulklubed,90,PW,1540759800,83,7.04,134.26,80.6,6.93
142,east london,36,ZA,1540762152,93,-33.02,27.91,71.68,30.11
143,constitucion,20,MX,1540759320,33,23.99,-104.67,73.4,6.93
144,sabzevar,32,IR,1540762373,93,36.21,57.68,39.73,5.84
145,robertsport,12,LR,1540762373,100,6.75,-11.37,82.21,7.4
146,buala,8,SB,1540762374,90,-8.15,159.59,83.74,2.71
147,codrington,92,AU,1540762374,100,-28.95,153.24,59.98,3.27
148,vestmanna,92,FO,1540759800,70,62.16,-7.17,44.6,24.16
149,abu dhabi,0,AE,1540760400,66,24.47,54.37,84.2,3.36
150,victor harbor,20,AU,1540760400,66,-35.55,138.62,55.4,3.36
151,vondrozo,92,MG,1540762375,100,-22.82,47.32,60.25,5.73
152,port shepstone,12,ZA,1540762375,91,-30.74,30.45,70.15,23.06
153,alausi,0,EC,1540762375,65,-2.2,-78.83,60.43,3.71
154,cap malheureux,20,MU,1540760400,82,-19.98,57.61,68.0,5.82
155,praia,20,BR,1540760400,51,-20.25,-43.81,80.6,4.7
156,upernavik,32,GL,1540762376,100,72.79,-56.15,20.65,11.21
157,aykhal,56,RU,1540762376,86,65.95,111.51,31.68,9.86
158,middelburg,0,ZA,1540762377,43,-25.77,29.46,67.95,8.97
159,caernarfon,92,GB,1540756200,80,53.14,-4.27,39.2,6.93
160,hithadhoo,92,MV,1540762377,100,-0.6,73.08,79.2,5.73
161,lorengau,64,PG,1540762377,100,-2.02,147.27,82.08,4.94
162,prescott,1,US,1540759980,23,34.54,-112.47,78.8,4.05
163,opuwo,32,NA,1540762378,52,-18.06,13.84,68.17,3.38
164,vila franca do campo,75,PT,1540760400,63,37.72,-25.43,62.6,12.75
165,esperance,20,TT,1540760400,66,10.24,-61.45,86.0,8.05
166,shingu,0,JP,1540762378,100,33.72,135.99,62.37,10.65
167,ucluelet,90,CA,1540760400,87,48.94,-125.55,51.8,10.29
168,chapada dos guimaraes,75,BR,1540760400,66,-15.46,-55.75,84.2,5.82
169,mapiripan,44,CO,1540762379,92,2.89,-72.13,80.05,6.17
170,viedma,32,AR,1540762379,52,-40.81,-62.99,74.43,13.44
171,ixtapa,5,MX,1540759440,83,20.71,-105.21,84.2,10.29
172,santo tomas,24,PH,1540762380,85,15.88,120.59,67.9,2.59
173,welkom,44,ZA,1540762380,46,-27.98,26.74,66.55,5.28
174,ampanihy,76,MG,1540762380,86,-24.69,44.75,63.4,11.32
175,ballina,44,IE,1540762381,100,54.11,-9.15,33.79,6.85
176,alice springs,90,AU,1540760400,88,-23.7,133.88,66.2,4.7
177,vila velha,40,BR,1540760400,74,-3.71,-38.6,80.6,11.41
178,birao,0,CF,1540762382,45,10.3,22.78,73.08,5.28
179,kochi,40,IN,1540758600,83,9.96,76.25,78.8,4.7
180,palmer,90,US,1540760940,86,61.6,-149.11,37.4,5.82
181,new norfolk,40,AU,1540760400,66,-42.78,147.06,51.8,4.7
182,huarmey,8,PE,1540762383,61,-10.07,-78.15,70.15,3.94
183,jiwani,24,PK,1540762383,93,25.05,61.74,72.18,4.61
184,port lincoln,0,AU,1540762383,100,-34.72,135.86,54.85,9.08
185,evensk,92,RU,1540762383,100,61.92,159.24,29.07,6.96
186,san patricio,0,PY,1540762384,66,-26.98,-56.83,75.6,3.27
187,nikki,24,BJ,1540762384,90,9.94,3.21,73.03,4.16
188,airai,0,TL,1540762384,86,-8.93,125.41,62.86,1.36
189,saint-georges,92,CA,1540762385,100,46.12,-70.67,47.88,3.38
190,mana,92,RS,1540760400,63,43.52,20.24,68.0,10.29
191,kommunisticheskiy,64,RU,1540762386,87,61.68,64.48,27.13,3.71
192,ewa beach,1,US,1540760640,62,21.32,-158.01,84.2,9.17
193,el fuerte,0,MX,1540762386,36,26.42,-108.62,92.43,3.15
194,kruisfontein,0,ZA,1540762386,87,-34.0,24.73,64.8,6.62
195,antalaha,36,MG,1540762386,93,-14.9,50.28,71.95,2.37
196,bethel,1,US,1540759980,86,60.79,-161.76,26.6,6.93
197,springfield,1,US,1540759920,36,37.22,-93.29,64.4,9.17
198,kirs,92,RU,1540762388,88,59.34,52.24,27.49,6.29
199,kavaratti,8,IN,1540762388,98,10.57,72.64,85.63,8.97
200,clyde river,90,CA,1540760400,70,70.47,-68.59,1.4,3.36
201,saint-philippe,90,CA,1540760940,93,45.36,-73.48,42.8,6.93
202,hit,0,IQ,1540762389,56,33.64,42.83,57.6,10.2
203,mahebourg,20,MU,1540760400,82,-20.41,57.7,68.0,5.82
204,mazyr,92,BY,1540762389,98,52.05,29.27,42.57,8.3
205,ilheus,0,BR,1540756800,88,-14.79,-39.05,78.8,2.24
